A,Shenzhen,Guangzhou,Beijing,Chengdu,Shanghai,Dongguan,Suzhou,Xian,Hangzhou,Zhengzhou,Chongqing,Changsha,Nanjing,Kunming,Tianjin,Hefei,Nanning,Wenzhou,Nanchang,Zhoukou,Fuyang,Shangqiu,Yueyang,Zhumadian,Changde,Nanyang,Yichun,Xinyang,Anqing,Jiujiang,Y
0,12.2928516,14.6374128,11.913318,9.5139036,9.9519516,10.7952264,8.0105436,7.147116,7.0718508,6.5526084,4.2929676,5.8846176,4.9687992,4.5812952,5.3388072,3.5177328,3.8191176,5.2186356,2.5150824,1.4258916,1.0415952,1.2667428,1.0454508,1.0266264,0.7949016,1.1572632,1.0122732,0.9400212,0.6930036,0.7979148,0.5
0,11.4270912,13.7922912,11.098134,9.1768788,9.7406064,10.0697904,8.1110484,6.9271524,6.9174648,6.0622344,4.3447428,5.700942,4.9245732,4.2082416,5.1239628,3.7239588,3.61422,5.3833572,2.3036076,1.4059656,1.18098,1.2644424,1.0654416,1.0428912,0.76221,1.1232756,0.97119,0.9448488,0.7175628,0.7829136,1.095238095
0,10.7605908,13.1729004,10.8683532,8.5362336,9.9392832,10.0986912,8.08866,6.2620776,6.7355388,5.82795,4.2637752,5.2532064,4.987332,4.182516,4.5200592,3.5251848,2.9766528,5.6613168,2.1336696,1.3636188,1.1478996,1.208682,0.9555732,1.0694268,0.6988032,1.0849788,0.9026964,0.8992296,0.633096,0.7699212,0.477272727
0,12.454398,14.250654,11.939562,9.1495656,10.7847288,11.7790524,8.7193908,6.1731072,7.4485332,6.1578144,4.740282,5.4063612,5.1148908,4.4316396,4.6871784,3.852036,3.014658,6.0144444,2.2021632,1.4147784,1.2714732,1.2267612,0.964872,1.1259972,0.729486,1.1350692,0.9213264,0.925182,0.6621264,0.8280468,1.4
0,15.1403904,16.1085996,13.047156,9.8155476,11.5333632,15.1735356,9.3084876,6.1993512,7.838208,6.6595608,4.9557744,5.5528092,5.1007644,4.6807308,4.9217868,3.6559512,3.19059,5.5676808,2.2605156,1.3029984,1.1839608,1.1076588,0.9443628,1.0289268,0.7154244,1.0188828,0.9257004,0.8204004,0.6390576,0.8789472,0.807692308
0,18.0621576,17.5868496,14.4694836,10.3263336,13.4792424,17.65071,10.2643524,6.6826944,8.7368544,7.928442,5.2702164,6.0885432,5.239404,4.9348116,5.0071932,3.8919852,3.5320212,5.2336368,2.4718608,1.3422348,1.3098348,1.2041136,1.0372536,1.0752912,0.7797708,1.0605816,1.0215072,0.7965216,0.6801732,0.9519768,0.294326241
0,24.5302668,20.57157,17.4288348,12.4730928,17.1798408,21.0777228,12.1497408,7.6370364,10.2812328,8.2718496,5.9835024,7.675236,6.268752,5.5430568,5.1489108,4.4942364,4.4872704,4.4997444,2.9044008,1.4085576,1.3999392,1.2041136,1.0469412,1.1685708,0.8113608,1.052676,0.9723888,0.864756,0.7013952,0.99549,0.109589041
0,25.89732,19.3820688,17.2898064,13.0410324,17.68311,21.6721656,13.5292032,7.9096176,10.0298412,8.8590996,6.1874604,7.21791,5.9385312,5.2083,5.5336608,4.3587072,4.3184664,3.706398,2.6638956,1.5886692,1.4591664,1.2502188,1.1081124,1.2102696,0.8635572,1.155546,1.0559808,1.0007388,0.7491528,0.9953928,0.192592593
0,25.4825352,19.1640168,19.6568208,14.651928,18.708246,19.5889104,14.1480108,8.49042,10.4407704,9.7224948,6.7183992,7.617888,6.2712468,5.5593216,5.9718708,5.0290308,4.573422,3.1679748,2.8367172,1.6178616,1.5429528,1.3471272,1.1449512,1.270242,0.9216504,1.2152916,1.1024424,0.9824328,0.8012196,1.0377396,0.287784679
0,27.1716768,22.0308984,23.8547592,19.1284092,22.5761256,18.770616,16.1912844,10.4358132,12.0841956,11.9092356,8.1833328,9.70137,7.9508952,6.9024312,7.012818,6.459426,5.6927448,2.9899044,3.3349968,1.9115028,1.8274572,1.605906,1.30734,1.4745888,1.099494,1.3731768,1.253232,1.1249604,0.867672,1.1468628,0.136655949
