state,total_emp_feb,total_emp_nov
0,40.5,24.0
0,13.75,11.5
0,8.5,10.5
0,34.0,20.0
0,24.0,35.5
0,70.5,29.0
0,23.5,36.5
0,11.0,11.0
0,9.0,8.5
0,15.5,17.5
0,58.0,29.0
0,26.5,30.5
0,28.5,26.0
0,13.5,18.0
0,16.75,20.0
0,9.5,13.5
0,15.0,19.0
0,29.5,15.5
0,18.5,14.5
0,20.25,14.0
0,36.0,19.0
0,21.0,21.0
0,20.5,18.0
0,19.0,20.5
0,14.0,13.5
0,19.0,17.5
0,32.5,25.5
0,19.0,15.5
0,27.0,25.5
0,19.5,27.0
0,24.0,16.0
0,18.0,19.0
0,19.0,25.0
0,14.0,17.0
0,10.5,16.5
0,38.0,20.0
0,23.5,18.0
0,10.5,12.0
0,25.0,25.0
0,11.0,11.0
0,36.5,27.0
0,52.5,34.0
0,29.0,25.0
0,45.0,37.5
0,22.75,21.0
0,7.5,9.5
0,15.5,18.0
0,38.0,18.0
0,17.5,19.0
0,25.0,31.5
0,21.0,24.5
0,15.5,27.5
0,15.5,34.5
0,8.5,14.0
0,18.0,15.0
0,20.75,23.0
0,39.0,26.5
0,41.5,23.5
0,22.5,35.5
0,32.0,21.0
0,24.0,23.0
0,26.0,20.0
0,48.5,27.0
0,8.5,13.0
0,18.5,0.0
0,13.0,13.5
0,28.0,26.75
0,24.5,43.5
0,18.5,41.25
0,23.5,14.25
0,15.0,12.5
0,18.0,34.0
0,20.25,10.0
0,15.5,14.0
0,21.0,17.5
1,15.0,27.0
1,15.0,21.5
1,24.0,23.0
1,19.25,21.5
1,21.5,34.5
1,9.5,10.5
1,44.0,16.5
1,21.0,38.0
1,28.0,36.0
1,10.0,16.0
1,20.5,20.5
1,25.5,19.0
1,19.0,53.0
1,16.5,16.5
1,17.0,16.5
1,27.5,45.0
1,5.0,8.0
1,16.0,15.5
1,41.5,24.0
1,13.0,7.5
1,10.0,7.5
1,15.0,18.5
1,26.0,16.5
1,18.0,33.5
1,35.0,37.0
1,21.0,18.0
1,34.5,26.5
1,18.25,33.0
1,20.0,20.5
1,16.0,24.5
1,17.5,16.0
1,20.0,23.5
1,12.25,13.0
1,33.0,20.0
1,31.5,22.0
1,28.0,25.5
1,16.5,18.0
1,14.75,9.0
1,23.5,26.5
1,10.0,0.0
1,46.5,23.75
1,15.5,18.0
1,24.5,36.0
1,24.0,21.0
1,23.0,15.5
1,28.0,22.5
1,32.5,27.0
1,23.0,34.0
1,17.0,16.75
1,30.0,26.0
1,21.5,18.0
1,32.0,20.5
1,8.0,15.0
1,35.5,25.5
1,33.0,20.0
1,22.0,18.0
1,23.0,26.5
1,23.0,23.25
1,8.5,10.5
1,12.5,12.0
1,9.5,9.5
1,13.0,15.5
1,17.0,14.5
1,9.0,14.0
1,19.0,6.5
1,11.5,10.0
1,13.0,11.5
1,48.0,46.5
1,45.5,26.5
1,15.0,16.0
1,18.0,13.0
1,21.0,14.0
1,20.5,15.5
1,20.5,18.0
1,17.5,27.0
1,27.5,27.0
1,24.0,29.5
1,34.0,16.5
1,18.0,31.5
1,24.0,27.5
1,33.5,32.0
1,12.0,14.5
1,35.0,10.5
1,35.0,44.0
1,16.0,15.5
1,15.5,10.5
1,19.0,24.0
1,24.0,29.0
1,36.0,20.0
1,29.0,26.5
1,29.0,27.0
1,21.25,26.5
1,15.5,10.5
1,19.5,18.0
1,21.0,18.5
1,14.0,25.5
1,30.5,32.0
1,23.5,33.0
1,14.0,7.5
1,14.5,12.5
1,15.5,24.0
1,26.5,29.0
1,8.0,10.0
1,5.5,9.5
1,23.25,17.5
1,15.5,17.5
1,32.25,25.0
1,30.0,26.0
1,30.5,22.5
1,27.0,35.0
1,18.5,17.75
1,38.0,24.5
1,16.5,16.5
1,50.0,30.0
1,20.5,39.0
1,6.5,17.0
1,13.5,12.5
1,28.0,38.5
1,21.5,20.0
1,24.0,32.0
1,20.5,19.0
1,23.5,26.5
1,23.0,19.0
1,17.0,20.0
1,20.5,22.5
1,23.5,10.0
1,9.5,12.5
1,10.0,11.0
1,14.0,12.5
1,85.0,59.0
1,15.0,19.0
1,21.5,15.5
1,53.0,19.0
1,24.0,26.5
1,20.5,17.5
1,14.5,20.5
1,25.0,28.0
1,27.0,30.25
1,22.5,44.0
1,36.5,17.5
1,17.25,31.0
1,21.5,31.0
1,24.5,28.5
1,19.0,19.0
1,25.0,41.0
1,16.0,28.0
1,19.0,9.5
1,22.75,25.0
1,35.0,28.0
1,16.0,16.0
1,21.0,22.75
1,30.5,32.0
1,23.0,27.5
1,21.5,25.5
1,36.5,60.5
1,23.0,20.5
1,14.0,16.0
1,17.25,25.0
1,18.5,13.0
1,8.5,9.0
1,14.0,16.5
1,23.0,21.0
1,29.0,21.5
1,19.0,20.0
1,21.0,21.25
1,17.0,21.5
1,36.0,31.0
1,25.0,33.0
1,29.5,37.75
1,22.0,9.0
1,11.0,11.0
1,13.5,12.75
1,13.5,10.5
1,18.0,22.0
1,9.5,8.0
1,24.0,25.0
1,14.5,12.5
1,29.0,22.5
1,10.5,11.5
1,18.0,23.5
1,9.0,16.5
1,33.0,29.0
1,19.5,30.0
1,41.0,22.5
1,17.0,24.0
1,18.25,21.75
1,17.0,13.5
1,32.0,24.0
1,26.0,28.5
1,11.5,10.0
1,21.0,23.5
1,22.75,30.5
1,18.5,24.75
1,20.0,22.5
1,18.0,28.0
1,10.5,14.0
1,10.5,9.0
1,11.0,9.5
1,10.5,15.5
1,12.5,12.0
1,18.0,11.5
1,17.0,12.5
1,15.0,16.0
1,19.5,28.5
1,13.0,15.0
1,20.25,23.5
1,26.0,30.5
1,15.5,26.5
1,24.0,27.0
1,25.5,21.5
1,21.5,21.5
1,14.0,37.5
1,20.0,11.5
1,22.5,21.0
1,30.0,28.0
1,24.0,24.0
1,22.0,23.0
1,13.0,19.0
1,5.0,7.0
1,13.5,14.0
1,18.0,32.0
1,24.0,22.0
1,16.5,14.25
1,7.0,16.5
1,11.0,0.0
1,19.5,47.5
1,10.0,15.5
1,13.0,10.5
1,10.0,7.0
1,12.5,11.0
1,8.0,8.5
1,12.0,0.0
1,20.5,15.0
1,18.5,13.5
1,11.5,12.5
1,15.0,12.5
1,13.0,12.5
1,10.0,10.0
1,17.0,13.5
1,17.0,16.0
1,20.5,23.5
1,19.5,34.0
1,30.5,32.5
1,23.0,21.5
1,13.0,20.0
1,30.25,43.5
1,18.0,17.5
1,10.0,7.0
1,17.0,22.0
1,25.5,22.0
1,6.0,7.0
1,11.5,14.0
1,8.5,27.0
1,18.5,18.5
1,15.5,11.5
1,14.25,16.0
1,38.0,25.0
1,24.75,30.5
1,23.0,11.5
1,24.0,25.5
1,7.5,9.5
