,age,gender,occupation_college,occupation_executive,occupation_other,occupation_technician,Comedy,Drama,Action,Thriller,Sci-Fi
0,16,0,0,0,0,0,3.323169404911188,3.453649553263956,3.6921666234107327,3.482883215271501,3.357667761048228
1,16,0,0,0,0,1,3.3257820675173666,3.0989452889181073,3.6281774066856984,3.1457053119290723,3.886814118460624
2,16,0,0,0,1,0,3.5782370913017694,3.6662337053292955,3.464249929671815,3.39272657369248,3.6916327465206162
3,16,0,0,0,1,1,3.580849753907948,3.3115294409834473,3.400260712946781,3.055548670350052,4.220779103933013
4,16,0,0,1,0,0,3.530090046942274,3.566701275787021,3.4559293428112783,3.7413103625299087,3.570002429663102
5,16,0,0,1,0,1,3.532702709548452,3.2119970114411727,3.3919401260862445,3.40413245918748,4.099148787075499
6,16,0,0,1,1,0,3.785157733332855,3.7792854278523604,3.228012649072361,3.6511537209508877,3.90396741513549
7,16,0,0,1,1,1,3.7877703959390336,3.424581163506512,3.1640234323473266,3.3139758176084593,4.433113772547887
8,16,0,1,0,0,0,3.528104430081363,3.6199134321093576,3.3492543323377126,3.360063396917237,3.508624604480204
9,16,0,1,0,0,1,3.530717092687541,3.265209167763509,3.2852651156126784,3.0228854935748086,4.0377709618926
10,16,0,1,0,1,0,3.783172116471944,3.832497584174697,3.121337638598795,3.269906755338216,3.842589589952592
11,16,0,1,0,1,1,3.7857847790781225,3.477793319828849,3.057348421873761,2.9327288519957877,4.371735947364988
12,16,0,1,1,0,0,3.7350250721124483,3.7329651546324225,3.1130170517382587,3.6184905441756445,3.720959273095078
13,16,0,1,1,0,1,3.7376377347186267,3.378260890286574,3.0490278350132245,3.281312640833216,4.250105630507474
14,16,0,1,1,1,0,3.99009275850303,3.945549306697762,2.885100357999341,3.528333902596624,4.054924258567466
15,16,0,1,1,1,1,3.992705421109208,3.590845042351914,2.8211111412743066,3.1911559992541956,4.584070615979862
16,16,1,0,0,0,0,3.1883339708125873,3.474653154058004,3.483256401247855,3.207195119221037,3.2332349048569906
17,16,1,0,0,0,1,3.1909466334187657,3.1199488897121554,3.4192671845228206,2.870017215878608,3.762381262269387
18,16,1,0,0,1,0,3.443401657203169,3.6872373061233437,3.255339707508937,3.117038477642016,3.5671998903293787
19,16,1,0,0,1,1,3.446014319809347,3.3325330417774954,3.1913504907839028,2.7798605742995877,4.096346247741775
20,16,1,0,1,0,0,3.395254612843673,3.587704876581069,3.2470191206484005,3.4656222664794445,3.4455695734718645
21,16,1,0,1,0,1,3.3978672754498516,3.2330006122352204,3.1830299039233663,3.128444363137016,3.974715930884261
22,16,1,0,1,1,0,3.6503222992342543,3.8002890286464086,3.0191024269094826,3.375465624900424,3.7795345589442526
23,16,1,0,1,1,1,3.6529349618404328,3.4455847643005604,2.9551132101844484,3.038287721557995,4.308680916356649
24,16,1,1,0,0,0,3.393268995982762,3.6409170329034057,3.140344110174835,3.084375300866773,3.3841917482889663
25,16,1,1,0,0,1,3.3958816585889404,3.286212768557557,3.0763548934498006,2.7471973975243444,3.9133381057013628
26,16,1,1,0,1,0,3.648336682373343,3.8535011849687453,2.912427416435917,2.9942186592877524,3.7181567337613544
27,16,1,1,0,1,1,3.6509493449795216,3.4987969206228966,2.848438199710883,2.6570407559453235,4.247303091173751
28,16,1,1,1,0,0,3.600189638013848,3.7539687554264707,2.9041068295753805,3.342802448125181,3.5965264169038402
29,16,1,1,1,0,1,3.602802300620026,3.399264491080622,2.8401176128503463,3.0056245447827523,4.125672774316237
30,16,1,1,1,1,0,3.855257324404429,3.96655290749181,2.676190135836463,3.25264580654616,3.9304914023762283
31,16,1,1,1,1,1,3.8578699870106075,3.6118486431459615,2.612200919111429,2.9154679032037314,4.459637759788625
32,17,0,0,0,0,0,3.319268755174754,3.447670938980435,3.6934396392565634,3.491631695622807,3.3132342531011547
33,17,0,0,0,0,1,3.3218814177809324,3.0929666746345865,3.629450422531529,3.1544537922803784,3.842380610513551
34,17,0,0,0,1,0,3.5743364415653356,3.6602550910457747,3.4655229455176455,3.401475054043786,3.647199238573543
35,17,0,0,0,1,1,3.5769491041715136,3.3055508266999265,3.4015337287926113,3.0642971507013574,4.176345595985939
36,17,0,0,1,0,0,3.52618939720584,3.5607226615035,3.457202358657109,3.7500588428812143,3.5255689217160286
37,17,0,0,1,0,1,3.528802059812018,3.2060183971576515,3.393213141932075,3.412880939538786,4.054715279128425
38,17,0,0,1,1,0,3.781257083596421,3.7733068135688397,3.2292856649181916,3.659902201302194,3.859533907188417
39,17,0,0,1,1,1,3.7838697462025994,3.4186025492229914,3.1652964481931574,3.3227242979597653,4.388680264600813
40,17,0,1,0,0,0,3.5242037803449286,3.613934817825837,3.3505273481835434,3.3688118772685427,3.4641910965331304
41,17,0,1,0,0,1,3.526816442951107,3.259230553479988,3.286538131458509,3.0316339739261142,3.993337453945527
42,17,0,1,0,1,0,3.77927146673551,3.8265189698911763,3.1226106544446255,3.278655235689522,3.7981560820055185
43,17,0,1,0,1,1,3.7818841293416883,3.471814705545328,3.0586214377195917,2.9414773323470937,4.327302439417915
44,17,0,1,1,0,0,3.7311244223760145,3.7269865403489018,3.114290067584089,3.6272390245269506,3.6765257651480043
45,17,0,1,1,0,1,3.7337370849821925,3.372282276003053,3.0503008508590552,3.290061121184522,4.205672122560401
46,17,0,1,1,1,0,3.9861921087665957,3.9395706924142413,2.8863733738451716,3.5370823829479296,4.010490750620392
47,17,0,1,1,1,1,3.9888047713727737,3.584866428068393,2.8223841571201373,3.199904479605501,4.539637108032789
48,17,1,0,0,0,0,3.1844333210761535,3.4686745397744834,3.484529417093685,3.2159435995723427,3.1888013969099176
49,17,1,0,0,0,1,3.1870459836823315,3.1139702754286347,3.420540200368651,2.878765696229914,3.717947754322314
50,17,1,0,0,1,0,3.4395010074667347,3.681258691839823,3.2566127233547677,3.125786957993322,3.5227663823823057
51,17,1,0,0,1,1,3.442113670072913,3.3265544274939742,3.1926235066297335,2.7886090546508937,4.051912739794702
52,17,1,0,1,0,0,3.391353963107239,3.5817262622975483,3.248292136494231,3.4743707468307505,3.4011360655247915
53,17,1,0,1,0,1,3.3939666257134173,3.2270219979516996,3.1843029197691965,3.137192843488322,3.930282422937188
54,17,1,0,1,1,0,3.6464216494978205,3.794310414362888,3.0203754427553133,3.3842141052517296,3.7351010509971796
55,17,1,0,1,1,1,3.6490343121039985,3.4396061500170396,2.956386226030279,3.047036201909301,4.264247408409576
56,17,1,1,0,0,0,3.3893683462463278,3.6349384186198845,3.141617126020665,3.093123781218079,3.3397582403418933
57,17,1,1,0,0,1,3.391981008852506,3.2802341542740363,3.0776279092956313,2.7559458778756505,3.8689045977542893
58,17,1,1,0,1,0,3.6444360326369094,3.8475225706852245,2.9137004322817477,3.002967139639058,3.6737232258142813
59,17,1,1,0,1,1,3.6470486952430874,3.492818306339376,2.8497112155567135,2.6657892362966296,4.202869583226677
60,17,1,1,1,0,0,3.5962889882774136,3.7479901411429495,2.905379845421211,3.3515509284764864,3.552092908956767
61,17,1,1,1,0,1,3.598901650883592,3.3932858767971013,2.841390628696177,3.014373025134058,4.081239266369163
62,17,1,1,1,1,0,3.851356674667995,3.9605742932082895,2.6774631516822933,3.261394286897466,3.8860578944291553
63,17,1,1,1,1,1,3.8539693372741732,3.605870028862441,2.613473934957259,2.9242163835550374,4.415204251841551
64,18,0,0,0,0,0,3.31536810543832,3.4416923246969144,3.6947126551023937,3.500380175974113,3.2688007451540817
65,18,0,0,0,0,1,3.317980768044498,3.0869880603510658,3.63072343837736,3.1632022726316844,3.797947102566478
66,18,0,0,0,1,0,3.5704357918289014,3.654276476762254,3.4667959613634762,3.410223534395092,3.6027657306264698
67,18,0,0,0,1,1,3.57304845443508,3.2995722124164057,3.402806744638442,3.0730456310526635,4.131912088038866
68,18,0,0,1,0,0,3.5222887474694056,3.5547440472199794,3.4584753745029397,3.7588073232325203,3.4811354137689556
69,18,0,0,1,0,1,3.524901410075584,3.2000397828741307,3.3944861577779055,3.421629419890092,4.010281771181352
70,18,0,0,1,1,0,3.777356433859987,3.767328199285319,3.230558680764022,3.6686506816534994,3.8151003992413437
71,18,0,0,1,1,1,3.779969096466165,3.4126239349394707,3.1665694640389876,3.3314727783110714,4.34424675665374
72,18,0,1,0,0,0,3.5203031306084944,3.607956203542316,3.351800364029374,3.3775603576198487,3.4197575885860574
73,18,0,1,0,0,1,3.522915793214673,3.2532519391964674,3.28781114730434,3.0403824542774203,3.948903945998454
74,18,0,1,0,1,0,3.775370816999076,3.8205403556076556,3.123883670290456,3.2874037160408283,3.7537225740584454
75,18,0,1,0,1,1,3.777983479605254,3.465836091261807,3.059894453565422,2.9502258126984,4.2828689314708415
76,18,0,1,1,0,0,3.7272237726395803,3.721007926065381,3.1155630834299197,3.6359875048782566,3.6320922572009313
77,18,0,1,1,0,1,3.7298364352457583,3.3663036617195323,3.0515738667048855,3.298809601535828,4.161238614613327
78,18,0,1,1,1,0,3.9822914590301615,3.9335920781307205,2.8876463896910023,3.5458308632992357,3.9660572426733194
79,18,0,1,1,1,1,3.98490412163634,3.5788878137848723,2.8236571729659676,3.208652959956807,4.495203600085715
80,18,1,0,0,0,0,3.1805326713397193,3.462695925490962,3.485802432939516,3.2246920799236487,3.1443678889628446
81,18,1,0,0,0,1,3.1831453339458973,3.107991661145114,3.4218132162144816,2.8875141765812202,3.6735142463752406
82,18,1,0,0,1,0,3.4356003577303005,3.675280077556302,3.257885739200598,3.1345354383446278,3.4783328744352326
83,18,1,0,0,1,1,3.438213020336479,3.3205758132104535,3.1938965224755638,2.7973575350021997,4.007479231847629
84,18,1,0,1,0,0,3.3874533133708047,3.5757476480140276,3.2495651523400615,3.4831192271820566,3.3567025575777185
85,18,1,0,1,0,1,3.390065975976983,3.221043383668179,3.1855759356150273,3.1459413238396277,3.8858489149901145
86,18,1,0,1,1,0,3.6425209997613863,3.788331800079367,3.0216484586011436,3.3929625856030357,3.6906675430501066
87,18,1,0,1,1,1,3.6451336623675648,3.4336275357335184,2.95765924187611,3.055784682260607,4.219813900462503
88,18,1,1,0,0,0,3.3854676965098935,3.628959804336364,3.142890141866496,3.101872261569385,3.2953247323948203
89,18,1,1,0,0,1,3.388080359116072,3.2742555399905156,3.0789009251414616,2.764694358226956,3.8244710898072163
90,18,1,1,0,1,0,3.640535382900475,3.8415439564017038,2.9149734481275784,3.011715619990364,3.6292897178672083
91,18,1,1,0,1,1,3.6431480455066536,3.486839692055855,2.8509842314025438,2.6745377166479356,4.158436075279605
92,18,1,1,1,0,0,3.5923883385409794,3.7420115268594287,2.9066528612670415,3.3602994088277924,3.507659401009694
93,18,1,1,1,0,1,3.595001001147158,3.3873072625135805,2.8426636445420073,3.023121505485364,4.036805758422091
94,18,1,1,1,1,0,3.847456024931561,3.9545956789247687,2.678736167528124,3.270142767248772,3.8416243864820823
95,18,1,1,1,1,1,3.850068687537739,3.59989141457892,2.61474695080309,2.932964863906343,4.370770743894479
96,19,0,0,0,0,0,3.311467455701886,3.4357137104133937,3.6959856709482244,3.5091286563254185,3.2243672372070087
97,19,0,0,0,0,1,3.3140801183080644,3.081009446067545,3.63199645422319,3.17195075298299,3.753513594619405
98,19,0,0,0,1,0,3.566535142092467,3.6482978624787332,3.468068977209307,3.418972014746398,3.5583322226793968
99,19,0,0,0,1,1,3.5691478046986456,3.293593598132885,3.4040797604842727,3.0817941114039695,4.087478580091793
100,19,0,0,1,0,0,3.518388097732972,3.5487654329364586,3.45974839034877,3.7675558035838264,3.4367019058218826
101,19,0,0,1,0,1,3.5210007603391498,3.19406116859061,3.395759173623736,3.430377900241398,3.965848263234279
102,19,0,0,1,1,0,3.773455784123553,3.761349585001798,3.2318316966098526,3.6773991620048054,3.7706668912942707
103,19,0,0,1,1,1,3.776068446729731,3.40664532065595,3.1678424798848184,3.340221258662377,4.299813248706667
104,19,0,1,0,0,0,3.5164024808720606,3.601977589258795,3.3530733798752044,3.386308837971155,3.3753240806389844
105,19,0,1,0,0,1,3.5190151434782386,3.2472733249129466,3.28908416315017,3.0491309346287263,3.9044704380513804
106,19,0,1,0,1,0,3.771470167262642,3.814561741324135,3.125156686136287,3.296152196392134,3.7092890661113724
107,19,0,1,0,1,1,3.77408282986882,3.459857476978286,3.0611674694112527,2.9589742930497054,4.238435423523769
108,19,0,1,1,0,0,3.723323122903146,3.7150293117818602,3.1168360992757504,3.644735985229562,3.5876587492538583
109,19,0,1,1,0,1,3.7259357855093245,3.3603250474360116,3.0528468825507162,3.3075580818871337,4.116805106666255
110,19,0,1,1,1,0,3.9783908092937272,3.9276134638472,2.8889194055368326,3.5545793436505417,3.9216237347262464
111,19,0,1,1,1,1,3.9810034718999057,3.572909199501351,2.8249301888117984,3.2174014403081133,4.450770092138643
112,19,1,0,0,0,0,3.176632021603285,3.4567173112074414,3.487075448785346,3.2334405602749547,3.0999343810157716
113,19,1,0,0,0,1,3.1792446842094635,3.102013046861593,3.4230862320603124,2.8962626569325263,3.6290807384281676
114,19,1,0,0,1,0,3.4316997079938663,3.6693014632727814,3.2591587550464287,3.143283918695934,3.4338993664881596
115,19,1,0,0,1,1,3.4343123706000447,3.3145971989269327,3.1951695383213945,2.8061060153535053,3.9630457239005557
116,19,1,0,1,0,0,3.383552663634371,3.5697690337305064,3.250838168185892,3.491867707533362,3.3122690496306455
117,19,1,0,1,0,1,3.386165326240549,3.215064769384658,3.186848951460858,3.1546898041909337,3.8414154070430415
118,19,1,0,1,1,0,3.638620350024952,3.7823531857958463,3.0229214744469743,3.4017110659543417,3.6462340351030336
119,19,1,0,1,1,1,3.6412330126311305,3.4276489214499977,2.95893225772194,3.064533162611913,4.17538039251543
120,19,1,1,0,0,0,3.3815670467734598,3.622981190052843,3.1441631577123266,3.1106207419206906,3.250891224447747
121,19,1,1,0,0,1,3.3841797093796377,3.268276925706995,3.0801739409872924,2.773442838578262,3.7800375818601433
122,19,1,1,0,1,0,3.636634733164041,3.835565342118183,2.9162464639734087,3.02046410034167,3.5848562099201353
123,19,1,1,0,1,1,3.6392473957702194,3.4808610777723343,2.8522572472483745,2.6832861969992416,4.114002567332531
124,19,1,1,1,0,0,3.588487688804545,3.736032912575908,2.907925877112872,3.3690478891790985,3.463225893062621
125,19,1,1,1,0,1,3.5911003514107236,3.3813286482300597,2.843936660387838,3.03186998583667,3.992372250475017
126,19,1,1,1,1,0,3.843555375195127,3.948617064641248,2.6800091833739543,3.2788912476000776,3.7971908785350093
127,19,1,1,1,1,1,3.846168037801305,3.5939128002953993,2.6160199666489206,2.941713344257649,4.326337235947405
128,20,0,0,0,0,0,3.3075668059654517,3.4297350961298725,3.697258686794055,3.5178771366767245,3.1799337292599357
129,20,0,0,0,0,1,3.31017946857163,3.0750308317840243,3.633269470069021,3.180699233334296,3.7090800866723317
130,20,0,0,0,1,0,3.5626344923560334,3.6423192481952125,3.4693419930551372,3.427720495097704,3.5138987147323237
131,20,0,0,0,1,1,3.5652471549622113,3.287614983849364,3.405352776330103,3.0905425917552756,4.04304507214472
